Site,Date,Location ,Rep,Vial,Temp
Pick,6/21/2022,zero air,1,98,NA
Pick,6/21/2022,zero air,2,99,NA
Pick,6/21/2022,zero air,3,100,NA
Pick,6/21/2022,outlet,1,101,14
Pick,6/21/2022,outlet,2,102,14
Pick,6/21/2022,outlet,3,103,14
Pick,6/21/2022,top,1,104,16.5
Pick,6/21/2022,top,2,105,15.5
Pick,6/21/2022,top,3,106,16
Pick,6/21/2022,inlet,1,107,13
Pick,6/21/2022,inlet,2,108,13.5
Pick,6/21/2022,inlet,3,109,14
Pick,7/13/2022,inlet,1,136,15.5
Pick,7/13/2022,inlet,2,137,15.5
Pick,7/13/2022,inlet,3,138,16
Pick,7/13/2022,outlet,1,139,17
Pick,7/13/2022,outlet,2,140,15.5
Pick,7/13/2022,outlet,3,141,16.2
Pick,7/13/2022,top,1,142,17.5
Pick,7/13/2022,top,2,143,17.2
Pick,7/13/2022,top,3,144,17.2
Pick,7/13/2022,bottom,1,145,17.2
Pick,7/13/2022,bottom,2,146,17
Pick,7/13/2022,bottom,3,147,18
Catfish,7/28/2022,zero air,1,161,NA
Catfish,7/28/2022,zero air,2,162,NA
Catfish,7/28/2022,zero air,3,163,NA
Catfish,7/28/2022,top,1,164,19
Catfish,7/28/2022,top,2,165,17
Catfish,7/28/2022,top,3,166,18
Catfish,7/28/2022,bottom,1,167,17.7
Catfish,7/28/2022,bottom,2,168,17.5
Catfish,7/28/2022,bottom,3,169,17.5
Catfish,7/28/2022,outlet,1,170,17
Catfish,7/28/2022,outlet,2,171,17.9
Catfish,7/28/2022,outlet,3,172,18.5
Catfish,7/28/2022,inlet,1,173,17.5
Catfish,7/28/2022,inlet,2,174,18
Catfish,7/28/2022,inlet,3,175,19
Deans,8/16/2022,top,2,181,14
Deans,8/16/2022,top,3,182,13.8
Deans,8/16/2022,top,1,183,13.8
Deans,8/16/2022,bottom,1,184,14.7
Deans,8/16/2022,bottom,2,185,14.7
Deans,8/16/2022,bottom,3,186,14.9
Deans,8/16/2022,outlet,1,187,14.8
Deans,8/16/2022,outlet,2,188,15.1
Deans,8/16/2022,outlet,3,189,15.3
Deans,8/16/2022,inlet,1,190,15.3
Deans,8/16/2022,inlet,2,191,15.4
Deans,8/16/2022,inlet,3,192,15.8
Sister3,8/23/2022,inlet,1,203,14.4
Sister3,8/23/2022,inlet,2,204,15.5
Sister3,8/23/2022,inlet,3,205,15.2
Sister3,8/23/2022,bottom,1,206,15
Sister3,8/23/2022,bottom,2,207,16
Sister3,8/23/2022,bottom,3,208,16
Sister3,8/23/2022,top,1,209,16
Sister3,8/23/2022,top,2,210,16
Sister3,8/23/2022,top,3,211,16
Sister3,8/23/2022,outlet,1,212,17.2
Sister3,8/23/2022,outlet,2,213,16.8
Sister3,8/23/2022,outlet,3,214,17.5
Deans,8/31/2022,inlet,1,226,15.3
Deans,8/31/2022,inlet,2,227,15.3
Deans,8/31/2022,inlet,3,228,15.2
Deans,8/31/2022,outlet,1,229,16.1
Deans,8/31/2022,outlet,2,230,17
Deans,8/31/2022,outlet,3,231,16.2
Deans,8/31/2022,top,1,232,16.2
Deans,8/31/2022,top,2,233,16.2
Deans,8/31/2022,top,3,234,16.5
Deans,8/31/2022,bottom,1,235,16.3
Deans,8/31/2022,bottom,2,236,16.5
Deans,8/31/2022,bottom,3,237,16.2
Catfish,9/6/2022,inlet,3,249,13.5
Catfish,9/6/2022,inlet,2,250,13.2
Catfish,9/6/2022,inlet,1,251,13.8
Catfish,9/6/2022,outlet,1,252,13.6
Catfish,9/6/2022,outlet,2,253,13.9
Catfish,9/6/2022,outlet,3,254,14.6
Catfish,9/6/2022,bottom,1,255,14.4
Catfish,9/6/2022,bottom,2,256,15.3
Catfish,9/6/2022,bottom,3,257,14.8
Catfish,9/6/2022,top,1,258,14.9
Catfish,9/6/2022,top,2,259,15.3
Catfish,9/6/2022,top,3,260,15.3
Pick,9/13/2022,top,1,276,13.8
Pick,9/13/2022,top,2,277,13.9
Pick,9/13/2022,top,3,278,14
Pick,9/13/2022,bottom,1,279,13.9
Pick,9/13/2022,bottom,2,280,14.2
Pick,9/13/2022,bottom,3,281,14.1
Pick,9/13/2022,inlet,1,282,16
Pick,9/13/2022,inlet,2,283,16
Pick,9/13/2022,inlet,3,284,15.8
Pick,9/13/2022,outlet,1,285,16.8
Pick,9/13/2022,outlet,2,286,16.8
Pick,9/13/2022,outlet,3,287,16.5
Catfish,9/19/2022,outlet,1,294,15.5
Catfish,9/19/2022,outlet,2,295,15.8
Catfish,9/19/2022,outlet,3,296,16
Catfish,9/19/2022,inlet,1,297,16
Catfish,9/19/2022,inlet,2,298,16.1
Catfish,9/19/2022,inlet,3,299,16
Catfish,9/19/2022,bottom,1,300,16.8
Catfish,9/19/2022,bottom,2,301,17.2
Catfish,9/19/2022,bottom,3,302,17.1
Catfish,9/19/2022,top,1,303,16.8
Catfish,9/19/2022,top,2,304,17
Catfish,9/19/2022,top,3,305,17.3
