Site,Date,Rep,Vol_ml,Time_s
Deans,8/31/2022,1,4000,7.16
Deans,8/31/2022,2,4000,8.34
Deans,8/31/2022,3,4000,7.63
Sister3,8/22/2022,1,4000,24.86
Sister3,8/22/2022,2,4000,24.8
Sister3,8/22/2022,3,4000,24.68
Catfish,7/27/2022,1,500,195.12
Catfish,9/6/2022,1,4000,75.9
Catfish,9/6/2022,2,4000,76.96
Catfish,9/6/2022,3,4000,74.56
Catfish,9/18/2022,1,1000,530
Catfish,9/18/2022,2,500,280
Catfish,9/18/2022,3,500,295
Pick,9/13/2022,1,4000,270
Pick,9/13/2022,2,4000,214
Pick,9/13/2022,3,4000,245
Deans,8/16/2022,1,4000,13.85
Deans,8/16/2022,2,4000,13.8
Deans,8/16/2022,3,4000,13.37
Pick,7/13/2022,1,4000,2.93
Pick,7/13/2022,2,4000,2.9
Pick,7/13/2022,3,4000,2.95
Pick,6/21/2022,1,4000,6.07
Pick,6/21/2022,2,4000,6.88
Pick,6/21/2022,3,4000,6.66
