"site","date","flux_round_2.5_ebullition_CH4","flux_round_ebullition_CH4","flux_round_97.5_ebullition_CH4","type","sampling"
"Catfish","2022-09-06",0.0682,0.1223,0.2035,"calculated","Catfish
06 Sept"
"Catfish","2022-09-18",0.021,0.0379,0.0657,"calculated","Catfish
18 Sept"
"Deans","2022-08-16",0.0065,0.0232,0.0484,"calculated","Deans
16 Aug"
"Deans","2022-08-30",0.0189,0.038,0.0616,"calculated","Deans
30 Aug"
"Pick","2022-09-13",0.1536,0.2294,0.3244,"calculated","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0498,0.0692,0.0915,"calculated","Sister
22 Aug"
"Catfish","2022-09-06",0,0.0537915325716233,0.177790086264345,"four random","Catfish
06 Sept"
"Catfish","2022-09-18",0,0.0192655324298374,0.0514436119355412,"four random","Catfish
18 Sept"
"Deans","2022-08-16",0,0.0288689121888707,0.113085196073485,"four random","Deans
16 Aug"
"Deans","2022-08-30",0.00163954181184973,0.0383018225865187,0.157425299170199,"four random","Deans
30 Aug"
"Pick","2022-09-13",0.00701961347487431,0.243911904773385,0.981186590160487,"four random","Blue Herron
13 Sept"
"Sister3","2022-08-22",0,0.0103322915880826,0.0321699137215319,"four random","Sister
22 Aug"
"Catfish","2022-09-06",0,0.0476857692062418,0.171274198454745,"transect","Catfish
06 Sept"
"Catfish","2022-09-18",0,0.0188602075821644,0.0498946549523993,"transect","Catfish
18 Sept"
"Deans","2022-08-16",0,0.0246122454518927,0.10768393365547,"transect","Deans
16 Aug"
"Deans","2022-08-30",0.00175793770372321,0.0380221426653639,0.14960018613062,"transect","Deans
30 Aug"
"Pick","2022-09-13",0,0.245126116978492,0.980161787151573,"transect","Blue Herron
13 Sept"
"Sister3","2022-08-22",0,0.0106368847438022,0.0367129130554035,"transect","Sister
22 Aug"
"Catfish","2022-09-06",0.0120579083254249,0.0565142988637419,0.132628196378733,"transect_twice","Catfish
06 Sept"
"Catfish","2022-09-18",0,0.019822233406236,0.0600388045217709,"transect_twice","Catfish
18 Sept"
"Deans","2022-08-16",0.000280225977684486,0.0399080652092488,0.251617245767711,"transect_twice","Deans
16 Aug"
"Deans","2022-08-30",0,0.0356871955886397,0.15109327849251,"transect_twice","Deans
30 Aug"
"Pick","2022-09-13",0.0258536799566973,0.186371778490765,0.747665833009456,"transect_twice","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.000850778436611258,0.0430561222362376,0.188813771834577,"transect_twice","Sister
22 Aug"
"Catfish","2022-09-06",0.00760101316446445,0.0640514232912639,0.176684411768077,"four random twice","Catfish
06 Sept"
"Catfish","2022-09-18",0,0.0242935276085524,0.0820670796201211,"four random twice","Catfish
18 Sept"
"Deans","2022-08-16",0.000641358234070678,0.0460741739880947,0.263650232095769,"four random twice","Deans
16 Aug"
"Deans","2022-08-30",0.00126242251276222,0.0324027247288859,0.149580621688605,"four random twice","Deans
30 Aug"
"Pick","2022-09-13",0.0185508294115737,0.205444287474846,0.791250537591674,"four random twice","Blue Herron
13 Sept"
"Sister3","2022-08-22",0,0.039965200620159,0.183252358131217,"four random twice","Sister
22 Aug"
